name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{access_tiers_admin_write,access_tiers_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{access_tiers_admin_write,access_tiers_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{access_tiers_admin_write,access_tiers_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{access_tiers_admin_write,access_tiers_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_dashboard_user_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_view_stats` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{design_view_stats_select,design_view_stats_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_view_stats"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_view_stats_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_view_stats` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{design_view_stats_select,design_view_stats_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_view_stats"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_view_stats_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_view_stats` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{design_view_stats_select,design_view_stats_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_view_stats"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_view_stats_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_view_stats` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{design_view_stats_select,design_view_stats_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_view_stats"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_view_stats_dashboard_user_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.payment_history` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{payment_history_select,payment_history_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""payment_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_payment_history_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.payment_history` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{payment_history_select,payment_history_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""payment_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_payment_history_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.payment_history` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{payment_history_select,payment_history_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""payment_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_payment_history_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.payment_history` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{payment_history_select,payment_history_write}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""payment_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_payment_history_dashboard_user_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.subscription_history` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{subscription_history_admin_write,subscription_history_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""subscription_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_subscription_history_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.subscription_history` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{subscription_history_admin_write,subscription_history_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""subscription_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_subscription_history_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.subscription_history` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{subscription_history_admin_write,subscription_history_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""subscription_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_subscription_history_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.subscription_history` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{subscription_history_admin_write,subscription_history_select}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""subscription_history"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_subscription_history_dashboard_user_SELECT
